timestamp,elapsed_time_s,gpu_id,gpu_utilization_percent,memory_utilization_percent,memory_used_mb,memory_total_mb,memory_used_percent,temperature_c,power_draw_w
2025-04-26 01:43:09,0.00,0,1.0,0.0,2874.0,16376.0,17.55,31.0,40.81
2025-04-26 01:43:14,5.02,0,1.0,0.0,3091.0,16376.0,18.88,31.0,40.79
2025-04-26 01:43:19,10.05,0,1.0,0.0,3135.0,16376.0,19.14,31.0,41.15
2025-04-26 01:43:24,15.07,0,1.0,0.0,3150.0,16376.0,19.24,31.0,41.36
2025-04-26 01:43:29,20.10,0,4.0,1.0,2887.0,16376.0,17.63,31.0,41.04
2025-04-26 01:43:34,25.12,0,4.0,5.0,2884.0,16376.0,17.61,31.0,23.3
2025-04-26 01:43:40,30.16,0,3.0,3.0,2882.0,16376.0,17.60,31.0,23.86
2025-04-26 01:43:45,35.20,0,6.0,7.0,2882.0,16376.0,17.60,30.0,13.41
2025-04-26 01:43:50,40.23,0,3.0,3.0,2882.0,16376.0,17.60,31.0,24.62
2025-04-26 01:43:55,45.26,0,2.0,3.0,2893.0,16376.0,17.67,31.0,18.48
2025-04-26 01:44:00,50.29,0,4.0,6.0,2893.0,16376.0,17.67,30.0,15.95
2025-04-26 01:44:05,55.32,0,3.0,5.0,2892.0,16376.0,17.66,30.0,18.53
2025-04-26 01:44:10,60.35,0,2.0,5.0,2893.0,16376.0,17.67,30.0,17.91
2025-04-26 01:44:15,65.39,0,15.0,11.0,2894.0,16376.0,17.67,31.0,16.81
2025-04-26 01:44:20,70.42,0,1.0,5.0,2894.0,16376.0,17.67,30.0,15.77
2025-04-26 01:44:25,75.46,0,1.0,2.0,2884.0,16376.0,17.61,30.0,16.5
2025-04-26 01:44:30,80.48,0,0.0,0.0,2884.0,16376.0,17.61,31.0,41.26
2025-04-26 01:44:35,85.50,0,0.0,0.0,2884.0,16376.0,17.61,31.0,41.34
2025-04-26 01:44:40,90.52,0,2.0,0.0,2883.0,16376.0,17.61,31.0,41.56
2025-04-26 01:44:45,95.55,0,2.0,3.0,2884.0,16376.0,17.61,31.0,38.28
2025-04-26 01:44:50,100.61,0,1.0,2.0,2884.0,16376.0,17.61,31.0,17.04
2025-04-26 01:44:55,105.63,0,1.0,5.0,2883.0,16376.0,17.61,30.0,12.29
2025-04-26 01:45:00,110.71,0,1.0,3.0,2883.0,16376.0,17.61,30.0,16.74
2025-04-26 01:45:05,115.74,0,3.0,3.0,2884.0,16376.0,17.61,30.0,20.78
2025-04-26 01:45:10,120.85,0,2.0,3.0,2885.0,16376.0,17.62,30.0,21.42
2025-04-26 01:45:15,125.89,0,8.0,6.0,2893.0,16376.0,17.67,30.0,12.44
2025-04-26 01:45:20,130.98,0,1.0,3.0,2889.0,16376.0,17.64,30.0,16.75
2025-04-26 01:45:25,136.01,0,1.0,5.0,2890.0,16376.0,17.65,30.0,13.77
2025-04-26 01:45:30,141.11,0,2.0,5.0,2890.0,16376.0,17.65,30.0,13.22
2025-04-26 01:45:36,146.15,0,3.0,5.0,2890.0,16376.0,17.65,30.0,15.94
2025-04-26 01:45:41,151.20,0,2.0,3.0,2890.0,16376.0,17.65,30.0,16.85
2025-04-26 01:45:46,156.24,0,7.0,5.0,2890.0,16376.0,17.65,30.0,12.13
2025-04-26 01:45:51,161.34,0,2.0,3.0,2891.0,16376.0,17.65,30.0,18.44
2025-04-26 01:45:56,166.37,0,1.0,5.0,2890.0,16376.0,17.65,30.0,12.34
2025-04-26 01:46:01,171.49,0,5.0,6.0,2891.0,16376.0,17.65,30.0,13.39
2025-04-26 01:46:06,176.53,0,1.0,2.0,2890.0,16376.0,17.65,30.0,25.07
2025-04-26 01:46:11,181.56,0,3.0,2.0,2890.0,16376.0,17.65,30.0,21.81
2025-04-26 01:46:16,186.60,0,9.0,7.0,2920.0,16376.0,17.83,30.0,22.55
2025-04-26 01:46:21,191.65,0,8.0,9.0,2899.0,16376.0,17.70,30.0,20.67
2025-04-26 01:46:26,196.69,0,5.0,9.0,2905.0,16376.0,17.74,30.0,19.83
2025-04-26 01:46:31,201.75,0,7.0,9.0,2907.0,16376.0,17.75,30.0,20.89
2025-04-26 01:46:36,206.79,0,1.0,3.0,2913.0,16376.0,17.79,30.0,24.32
2025-04-26 01:46:41,211.86,0,10.0,10.0,2917.0,16376.0,17.81,30.0,21.89
2025-04-26 01:46:46,216.91,0,4.0,5.0,2917.0,16376.0,17.81,30.0,21.98
2025-04-26 01:46:51,221.95,0,9.0,11.0,2920.0,16376.0,17.83,30.0,24.58
2025-04-26 01:46:56,226.98,0,6.0,7.0,2919.0,16376.0,17.82,30.0,22.75
2025-04-26 01:47:01,232.03,0,7.0,10.0,2918.0,16376.0,17.82,30.0,23.63
2025-04-26 01:47:06,237.06,0,1.0,5.0,2895.0,16376.0,17.68,30.0,13.96
2025-04-26 01:47:12,242.13,0,1.0,3.0,2895.0,16376.0,17.68,30.0,16.82
2025-04-26 01:47:17,247.16,0,1.0,5.0,2894.0,16376.0,17.67,29.0,11.94
2025-04-26 01:47:22,252.25,0,1.0,3.0,2895.0,16376.0,17.68,30.0,24.3
2025-04-26 01:47:27,257.28,0,13.0,6.0,2896.0,16376.0,17.68,29.0,15.52
2025-04-26 01:47:32,262.33,0,2.0,3.0,2895.0,16376.0,17.68,30.0,22.22
2025-04-26 01:47:37,267.37,0,9.0,10.0,2902.0,16376.0,17.72,30.0,23.59
2025-04-26 01:47:42,272.41,0,3.0,4.0,2967.0,16376.0,18.12,30.0,20.7
2025-04-26 01:47:47,277.44,0,3.0,5.0,2970.0,16376.0,18.14,29.0,15.57
2025-04-26 01:47:52,282.47,0,4.0,7.0,2958.0,16376.0,18.06,30.0,15.58
2025-04-26 01:47:57,287.51,0,5.0,8.0,2960.0,16376.0,18.08,30.0,19.66
2025-04-26 01:48:02,292.57,0,1.0,3.0,2975.0,16376.0,18.17,30.0,18.52
2025-04-26 01:48:07,297.59,0,2.0,5.0,2956.0,16376.0,18.05,29.0,11.98
2025-04-26 01:48:12,302.65,0,1.0,4.0,2958.0,16376.0,18.06,29.0,13.2
2025-04-26 01:48:17,307.70,0,1.0,5.0,2954.0,16376.0,18.04,29.0,17.56
2025-04-26 01:48:22,312.73,0,1.0,3.0,2955.0,16376.0,18.04,30.0,16.71
2025-04-26 01:48:27,317.76,0,6.0,8.0,2959.0,16376.0,18.07,30.0,12.23
2025-04-26 01:48:32,322.90,0,1.0,2.0,2979.0,16376.0,18.19,30.0,17.85
2025-04-26 01:48:37,327.94,0,2.0,4.0,2978.0,16376.0,18.19,29.0,12.34
2025-04-26 01:48:42,333.05,0,1.0,2.0,2964.0,16376.0,18.10,30.0,18.97
2025-04-26 01:48:47,338.08,0,4.0,6.0,2952.0,16376.0,18.03,29.0,17.53
2025-04-26 01:48:53,343.19,0,1.0,3.0,2958.0,16376.0,18.06,30.0,16.51
2025-04-26 01:48:58,348.22,0,1.0,0.0,2955.0,16376.0,18.04,31.0,51.3
2025-04-26 01:49:03,353.25,0,1.0,0.0,2954.0,16376.0,18.04,31.0,51.47
2025-04-26 01:49:08,358.27,0,2.0,5.0,2956.0,16376.0,18.05,30.0,17.22
2025-04-26 01:49:13,363.30,0,1.0,0.0,2960.0,16376.0,18.08,30.0,28.3
2025-04-26 01:49:18,368.32,0,1.0,0.0,2954.0,16376.0,18.04,30.0,26.74
2025-04-26 01:49:23,373.37,0,1.0,0.0,2955.0,16376.0,18.04,31.0,42.8
2025-04-26 01:49:28,378.40,0,13.0,12.0,2961.0,16376.0,18.08,31.0,22.2
2025-04-26 01:49:33,383.43,0,1.0,0.0,2969.0,16376.0,18.13,31.0,48.7
2025-04-26 01:49:38,388.45,0,1.0,3.0,3004.0,16376.0,18.34,30.0,23.5
2025-04-26 01:49:43,393.48,0,3.0,3.0,2976.0,16376.0,18.17,32.0,22.79
2025-04-26 01:49:48,398.52,0,1.0,0.0,2966.0,16376.0,18.11,31.0,41.34
2025-04-26 01:49:53,403.54,0,0.0,0.0,2972.0,16376.0,18.15,31.0,41.42
2025-04-26 01:49:58,408.56,0,2.0,0.0,2976.0,16376.0,18.17,32.0,50.9
2025-04-26 01:50:03,413.59,0,0.0,0.0,2963.0,16376.0,18.09,32.0,41.15
2025-04-26 01:50:08,418.61,0,0.0,0.0,2981.0,16376.0,18.20,32.0,41.4
